"","MS(1)-norm","MS(2)-sstd-ged","MS(3)-sged-std-sged"," µº ÷µ"
"74",-0.072347671487641,-0.013954975716274,-0.00590081078229243,0.000571142911796398
"75",-0.0723478614436326,-0.0119417805669826,-0.00388763645009593,-0.00402260298887846
"76",-0.0723478694854107,-0.0260365458807343,-0.0139553310273406,-0.0052579059566708
"77",-0.0723497017468686,-0.0240260471079503,-0.0280530183278602,-0.00259461065929194
"78",-0.0723500483243169,-0.0159727171132107,-0.00993228876916352,-0.00373070589899945
"79",-0.0723500977771905,-0.0139593297427261,-0.00993238022310772,-0.00085097163201652
"80",-0.0723501422827559,-0.0139594096088775,-0.00590551544696338,-0.000818823765305641
"81",-0.0723501473824821,-0.0119459453596813,-0.00590552515740117,-0.000346879142647026
"82",-0.072350147568949,-0.0119459456994082,-0.00389205211680288,-0.00140551038028255
"83",-0.0723501493768215,-0.0119459489932034,-0.00389205560872097,-0.000813086785374244
"84",-0.072350166440877,-0.0119459800825101,-0.00389208856806111,-0.000417383562338662
"85",-0.0723501676177207,-0.0119459822266228,-0.00389209084114306,0.0010436694517453
"86",-0.0723501679351235,-0.0119459828049047,-0.00389209145420866,-0.000551866741605264
"87",-0.0723501983631021,-0.0119460382421805,-0.0038921502260576,0.0031835144405592
"88",-0.072350336329388,-0.0159732260536787,-0.00590588493301625,0.000399952760639089
"89",-0.0723504916683473,-0.0139600365885004,-0.00389271674714742,0.00135961391853341
"90",-0.0723763745402195,-0.0140064839339149,-0.00394270969144861,0.00727150469549629
"91",-0.0723966319866529,-0.0261160354375538,-0.0281282352875145,0.00393546895207971
"92",-0.0724014980610119,-0.022099834739634,-0.0100274355425034,0.00270828112644173
"93",-0.0724117456664113,-0.0180935296997558,-0.0100463865935845,0.00105268687076939
